Sett_Date,Sett_Period,Scottish Wind Output,England/Wales Wind Output,Total
2021-04-01,1,2687.72,2386.104,5073.824
2021-04-01,2,2160.838,3404.044,5564.882
2021-04-01,3,2172.622,4181.678,6354.3
2021-04-01,4,2145.996,4461.216,6607.212
2021-04-01,5,2038.63,4579.008,6617.638
2021-04-01,6,1907.632,4649.308,6556.94
2021-04-01,7,1747.234,4619.704,6366.938
2021-04-01,8,1650.198,5101.22,6751.418
2021-04-01,9,1255.852,5703.48,6959.332
2021-04-01,10,1105.848,6055.294,7161.142
2021-04-01,11,1329.514,6166.966,7496.48
2021-04-01,12,1053.584,6016.254,7069.838
2021-04-01,13,1035.658,6109.696,7145.354
2021-04-01,14,1098.474,6216.422,7314.896
2021-04-01,15,1244.766,6258.384,7503.15
2021-04-01,16,1322.338,6401.67,7724.008
2021-04-01,17,1227.606,6269.332,7496.938
2021-04-01,18,1146.6,6245.478,7392.078
2021-04-01,19,1063.302,6219.316,7282.618
2021-04-01,20,1050.736,6071.466,7122.202
2021-04-01,21,1143.064,6052.32,7195.384
2021-04-01,22,1094.124,5826.484,6920.608
2021-04-01,23,1030.96,5661.822,6692.782
2021-04-01,24,940.428,5474.67,6415.098
2021-04-01,25,879.504,5418.474,6297.978
2021-04-01,26,774.482,5472.322,6246.804
2021-04-01,27,680.088,5459.11,6139.198
2021-04-01,28,560.708,5400.018,5960.726
2021-04-01,29,465.614,5228.758,5694.372
2021-04-01,30,405.884,5023.076,5428.96
2021-04-01,31,362.102,4838.056,5200.158
2021-04-01,32,308.078,4705.134,5013.212
2021-04-01,33,298.74,4592.124,4890.864
2021-04-01,34,305.048,4590.534,4895.582
2021-04-01,35,285.96,4680.944,4966.904
2021-04-01,36,333.602,4738.954,5072.556
2021-04-01,37,402.616,4930.776,5333.392
2021-04-01,38,412.68,5075.826,5488.506
2021-04-01,39,357.49,5314.768,5672.258
2021-04-01,40,373.996,5391.01,5765.006
2021-04-01,41,357.728,5508.322,5866.05
2021-04-01,42,345.28,5576.286,5921.566
2021-04-01,43,348.43,5786.768,6135.198
2021-04-01,44,345.908,5772.374,6118.282
2021-04-01,45,352.802,5603.794,5956.596
2021-04-01,46,394.242,5080.226,5474.468
2021-04-01,47,375.3,4592.644,4967.944
2021-04-01,48,382.286,4340.914,4723.2
2021-04-02,1,441.594,4205.452,4647.046
2021-04-02,2,476.598,4241.712,4718.31
2021-04-02,3,509.104,4106.546,4615.65
2021-04-02,4,493.944,4002.7,4496.644
2021-04-02,5,485.1,3977.834,4462.934
2021-04-02,6,513.638,3894.076,4407.714
2021-04-02,7,559.132,3770.326,4329.458
2021-04-02,8,638.704,3737.272,4375.976
2021-04-02,9,669.826,3681.072,4350.898
2021-04-02,10,677.336,3736.492,4413.828
2021-04-02,11,645.64,3701.89,4347.53
2021-04-02,12,699.312,3586.462,4285.774
2021-04-02,13,829.596,3659.102,4488.698
2021-04-02,14,880.27,3591.568,4471.838
2021-04-02,15,892.286,3337.854,4230.14
2021-04-02,16,761.048,3261.638,4022.686
2021-04-02,17,725.832,3332.748,4058.58
2021-04-02,18,680.796,3310.706,3991.502
2021-04-02,19,656.08,3219.014,3875.094
2021-04-02,20,645.908,3199.04,3844.948
2021-04-02,21,581.686,3207.114,3788.8
2021-04-02,22,549.97,3361.992,3911.962
2021-04-02,23,539.97,3504.81,4044.78
2021-04-02,24,573.492,3437.348,4010.84
2021-04-02,25,674.072,3599.586,4273.658
2021-04-02,26,721.566,3432.942,4154.508
2021-04-02,27,774.166,3587.782,4361.948
2021-04-02,28,803.436,3624.53,4427.966
2021-04-02,29,870.464,3921.122,4791.586
2021-04-02,30,934.918,3924.478,4859.396
2021-04-02,31,1009.246,4082.334,5091.58
2021-04-02,32,1081.416,4259.978,5341.394
2021-04-02,33,1061.492,4217.43,5278.922
2021-04-02,34,1031.8,4193.474,5225.274
2021-04-02,35,1079.582,4733.34,5812.922
2021-04-02,36,1060.04,4940.544,6000.584
2021-04-02,37,1025.418,4946.84,5972.258
2021-04-02,38,919.982,4891.594,5811.576
2021-04-02,39,853.774,4862.256,5716.03
2021-04-02,40,878.896,4675.118,5554.014
2021-04-02,41,830.978,4796.44,5627.418
2021-04-02,42,737.442,4760.378,5497.82
2021-04-02,43,773.87,5015.566,5789.436
2021-04-02,44,759.88,5071.088,5830.968
2021-04-02,45,721.614,5164.108,5885.722
2021-04-02,46,684.358,5153.846,5838.204
2021-04-02,47,637.136,5315.512,5952.648
2021-04-02,48,546.248,5229.736,5775.984
2021-04-03,1,509.122,5008.118,5517.24
2021-04-03,2,429.444,5072.08,5501.524
2021-04-03,3,371.476,5048.524,5420
2021-04-03,4,325.104,5000.672,5325.776
2021-04-03,5,364,5287.966,5651.966
2021-04-03,6,399.726,5350.95,5750.676
2021-04-03,7,442.494,5257.302,5699.796
