Sett_Date,Sett_Period,Scottish Wind Output,England/Wales Wind Output,Total
2024-04-01,1,2902.404,5508.212,8410.616
2024-04-01,2,2860.182,5204.944,8065.126
2024-04-01,3,2755.212,4985.164,7740.376
2024-04-01,4,2818.376,4950.272,7768.648
2024-04-01,5,2912.502,5417.552,8330.054
2024-04-01,6,2931.688,5482.926,8414.614
2024-04-01,7,2879.428,5180.544,8059.972
2024-04-01,8,2932.136,5010.516,7942.652
2024-04-01,9,2864.168,5028.71,7892.878
2024-04-01,10,3004.22,4798.974,7803.194
2024-04-01,11,3198.644,4583.928,7782.572
2024-04-01,12,3357.642,4349.774,7707.416
2024-04-01,13,3546.972,4134.922,7681.894
2024-04-01,14,3671.32,4175.8,7847.12
2024-04-01,15,3935.97,4349.3,8285.27
2024-04-01,16,4104.156,4264.82,8368.976
2024-04-01,17,4003.182,3936.516,7939.698
2024-04-01,18,4041.474,3492.914,7534.388
2024-04-01,19,4055.41,2858.62,6914.03
2024-04-01,20,4228.542,2556.806,6785.348
2024-04-01,21,4224.398,2210.14,6434.538
2024-04-01,22,4364.336,1940.172,6304.508
2024-04-01,23,4276.498,1979.106,6255.604
2024-04-01,24,4238.75,1985.358,6224.108
2024-04-01,25,4372.506,2377.004,6749.51
2024-04-01,26,4373.34,2721.148,7094.488
2024-04-01,27,4431.704,2920.686,7352.39
2024-04-01,28,4448.118,3165.198,7613.316
2024-04-01,29,4470.984,3215.96,7686.944
2024-04-01,30,4513.67,3258.63,7772.3
2024-04-01,31,4307.512,3055.768,7363.28
2024-04-01,32,4185.118,2911.268,7096.386
2024-04-01,33,4448.868,2655.304,7104.172
2024-04-01,34,4535.97,2434.994,6970.964
2024-04-01,35,4397.27,2064.722,6461.992
2024-04-01,36,4415.47,1586.816,6002.286
2024-04-01,37,4298.198,1425.52,5723.718
2024-04-01,38,4093.544,1481.548,5575.092
2024-04-01,39,3909.712,1611.818,5521.53
2024-04-01,40,3842.57,2019.636,5862.206
2024-04-01,41,3779.054,2236.9,6015.954
2024-04-01,42,3792.62,2198.3,5990.92
2024-04-01,43,3608.462,2341.072,5949.534
2024-04-01,44,3497.552,2539.616,6037.168
2024-04-01,45,3440.09,2727.294,6167.384
2024-04-01,46,3468.088,2881.736,6349.824
2024-04-01,47,3480.446,2920.406,6400.852
2024-04-01,48,3446.788,2822.886,6269.674
2024-04-02,1,3455.264,2898.532,6353.796
2024-04-02,2,3482.164,3233.828,6715.992
2024-04-02,3,3546.794,3448.094,6994.888
2024-04-02,4,3479.662,3647.218,7126.88
2024-04-02,5,3373.028,3432.89,6805.918
2024-04-02,6,3358.238,3401.174,6759.412
2024-04-02,7,3312.242,3493.28,6805.522
2024-04-02,8,3193.754,3407.4,6601.154
2024-04-02,9,3064.884,3434.692,6499.576
2024-04-02,10,2760.372,3487.936,6248.308
2024-04-02,11,2912.706,3510.456,6423.162
2024-04-02,12,2875.058,3100.502,5975.56
2024-04-02,13,2835.684,3168.784,6004.468
2024-04-02,14,2709.598,3195.5,5905.098
2024-04-02,15,2565.024,3051.584,5616.608
2024-04-02,16,2607.976,2815.428,5423.404
2024-04-02,17,2656.858,2761.558,5418.416
2024-04-02,18,2762.716,2809.174,5571.89
2024-04-02,19,2790.544,2747.154,5537.698
2024-04-02,20,2743.394,2527.472,5270.866
2024-04-02,21,2788.284,2547.632,5335.916
2024-04-02,22,2701.022,2413.606,5114.628
2024-04-02,23,2552.18,2333.966,4886.146
2024-04-02,24,2416.194,2196.694,4612.888
2024-04-02,25,2295.454,2126.484,4421.938
2024-04-02,26,2261.794,2155.536,4417.33
2024-04-02,27,2199.736,2097.23,4296.966
2024-04-02,28,2283.214,1925.614,4208.828
2024-04-02,29,2409.15,1621.132,4030.282
2024-04-02,30,2473.954,1339.076,3813.03
2024-04-02,31,2516.138,1294.886,3811.024
2024-04-02,32,2614.736,1280.816,3895.552
2024-04-02,33,2734.734,1333.854,4068.588
2024-04-02,34,2511.75,1640.34,4152.09
2024-04-02,35,2568.026,1964.852,4532.878
2024-04-02,36,2633.176,2128.506,4761.682
2024-04-02,37,2651.168,2339.476,4990.644
2024-04-02,38,2621.418,2373.8,4995.218
2024-04-02,39,2565.312,2506.49,5071.802
2024-04-02,40,2534.632,2655.742,5190.374
2024-04-02,41,2600.35,2785.49,5385.84
2024-04-02,42,2662.218,3051.672,5713.89
2024-04-02,43,2677.854,3377.21,6055.064
2024-04-02,44,2819.39,4243.426,7062.816
2024-04-02,45,2951.576,4923.568,7875.144
2024-04-02,46,3055.554,5090.358,8145.912
2024-04-02,47,3076.326,5410.288,8486.614
2024-04-02,48,3162.362,5904.076,9066.438
2024-04-03,1,3286.202,6090.678,9376.88
2024-04-03,2,3421.864,5971.358,9393.222
2024-04-03,3,3600.706,5771.708,9372.414
2024-04-03,4,3775.768,5781.874,9557.642
2024-04-03,5,3864.146,5699.466,9563.612
2024-04-03,6,3968.244,5686.628,9654.872
2024-04-03,7,3972.022,5773.068,9745.09
2024-04-03,8,4044.328,5722.446,9766.774
2024-04-03,9,4260.772,5843.886,10104.658
2024-04-03,10,4388.08,6029.03,10417.11
2024-04-03,11,4492.054,6140.012,10632.066
2024-04-03,12,4585.562,5750.372,10335.934
2024-04-03,13,4654.176,5588.558,10242.734
2024-04-03,14,4597.21,5385.586,9982.796
2024-04-03,15,4380.842,5226.44,9607.282
2024-04-03,16,4609.426,5296.068,9905.494
2024-04-03,17,4339.208,5398.226,9737.434
2024-04-03,18,4551.164,5430.646,9981.81
2024-04-03,19,4704.872,5697.774,10402.646
2024-04-03,20,4839.118,5878.712,10717.83
2024-04-03,21,4924.574,5773.914,10698.488
2024-04-03,22,4937.438,5785.998,10723.436
2024-04-03,23,4970.748,5652.444,10623.192
2024-04-03,24,5060.034,5708.454,10768.488
2024-04-03,25,5166.6,5935.104,11101.704
2024-04-03,26,5273.15,5827.34,11100.49
2024-04-03,27,5396.366,6216.922,11613.288
2024-04-03,28,5502.208,6706.664,12208.872
2024-04-03,29,5500.792,6871.408,12372.2
2024-04-03,30,5262.99,6885.302,12148.292
2024-04-03,31,5233.582,7155.226,12388.808
2024-04-03,32,4956.184,7885.902,12842.086
2024-04-03,33,5058.822,7899.978,12958.8
2024-04-03,34,4926.646,8342.696,13269.342
2024-04-03,35,4912.422,8854.638,13767.06
2024-04-03,36,5007.132,9016.248,14023.38
2024-04-03,37,5029.144,8850.036,13879.18
2024-04-03,38,4943.772,8445.092,13388.864
2024-04-03,39,4742.14,7988.15,12730.29
2024-04-03,40,4646.15,7467.366,12113.516
2024-04-03,41,4568.646,7268.216,11836.862
2024-04-03,42,4419.354,7013.772,11433.126
2024-04-03,43,4232.772,6887.458,11120.23
2024-04-03,44,4054.224,6808.382,10862.606
2024-04-03,45,3905.852,6744.294,10650.146
2024-04-03,46,3850.236,6728.038,10578.274
2024-04-03,47,3716.324,6538.078,10254.402
2024-04-03,48,3461.122,6293.516,9754.638
2024-04-04,1,3401.714,5992.504,9394.218
2024-04-04,2,3512.818,5853.842,9366.66
2024-04-04,3,3399.538,5616.132,9015.67
2024-04-04,4,3317.412,5142.794,8460.206
2024-04-04,5,3412.738,5136.768,8549.506
2024-04-04,6,3528.728,5198.65,8727.378
2024-04-04,7,3507.396,5164.704,8672.1
2024-04-04,8,3227.812,5302.67,8530.482
2024-04-04,9,3327.586,5270.848,8598.434
2024-04-04,10,3393.52,4847.564,8241.084
2024-04-04,11,3189.504,4664.812,7854.316
2024-04-04,12,3140.072,4309.03,7449.102
2024-04-04,13,3241.562,4013.656,7255.218
2024-04-04,14,3179.8,3571.88,6751.68
2024-04-04,15,3037.044,3239.3,6276.344
2024-04-04,16,2819.36,3104.786,5924.146
2024-04-04,17,2780.354,3203.494,5983.848
2024-04-04,18,2880.42,3253.122,6133.542
2024-04-04,19,2830.024,3232.43,6062.454
2024-04-04,20,2690.138,3213.61,5903.748
2024-04-04,21,2490.794,3177.826,5668.62
2024-04-04,22,2356.764,3129.408,5486.172
2024-04-04,23,2042,3236.216,5278.216
2024-04-04,24,1810.954,3258.466,5069.42
2024-04-04,25,1530.53,3430.334,4960.864
2024-04-04,26,1427.834,3497.458,4925.292
2024-04-04,27,1321.028,3549.61,4870.638
2024-04-04,28,1291.828,3415.574,4707.402
2024-04-04,29,1212.258,3286.334,4498.592
2024-04-04,30,1168.24,3332.952,4501.192
2024-04-04,31,1102.562,3445.806,4548.368
2024-04-04,32,1075.024,3328.534,4403.558
2024-04-04,33,1081.014,3276.418,4357.432
2024-04-04,34,1127.746,3351.786,4479.532
2024-04-04,35,1182.864,3442.332,4625.196
2024-04-04,36,1294.102,3466.112,4760.214
2024-04-04,37,1410.792,3272.046,4682.838
2024-04-04,38,1445.59,3178.136,4623.726
2024-04-04,39,1459.94,3310.68,4770.62
2024-04-04,40,1620.36,3639.81,5260.17
2024-04-04,41,1812.696,3781.126,5593.822
2024-04-04,42,2067.988,4073.092,6141.08
2024-04-04,43,2337.122,4261.972,6599.094
2024-04-04,44,2483.174,4732.528,7215.702
2024-04-04,45,2650.446,4837.74,7488.186
2024-04-04,46,2887.852,4962.384,7850.236
2024-04-04,47,3122.75,5192.786,8315.536
2024-04-04,48,3379.042,5627.312,9006.354
2024-04-05,1,3549.158,6280.024,9829.182
2024-04-05,2,3622.384,6942.762,10565.146
2024-04-05,3,3809.79,7335.848,11145.638
2024-04-05,4,4058.654,7748.126,11806.78
2024-04-05,5,4259.672,8158.728,12418.4
2024-04-05,6,4418.928,8780.188,13199.116
2024-04-05,7,4261.93,9110.636,13372.566
2024-04-05,8,4030.88,9196.494,13227.374
2024-04-05,9,4010.938,9032.898,13043.836
2024-04-05,10,4376.868,9041.358,13418.226
2024-04-05,11,4142.582,8752.686,12895.268
2024-04-05,12,3890.198,8831.25,12721.448
2024-04-05,13,4108.766,8655.36,12764.126
2024-04-05,14,4232.478,8860.83,13093.308
2024-04-05,15,4003.006,8991.05,12994.056
2024-04-05,16,3844.472,8913.252,12757.724
2024-04-05,17,3748.682,8850.138,12598.82
2024-04-05,18,3642.142,8950.762,12592.904
2024-04-05,19,3611.408,8940.984,12552.392
2024-04-05,20,3558.79,8917.414,12476.204
2024-04-05,21,3564.428,9011.242,12575.67
2024-04-05,22,3331.03,9184.47,12515.5
2024-04-05,23,3190.76,9217.412,12408.172
2024-04-05,24,2944.306,9213.254,12157.56
2024-04-05,25,2870.128,9125.344,11995.472
2024-04-05,26,2916.66,9225.83,12142.49
2024-04-05,27,3050.058,9186.862,12236.92
2024-04-05,28,3220.668,9180.892,12401.56
2024-04-05,29,3271.268,9245.274,12516.542
2024-04-05,30,3340.898,9300.068,12640.966
2024-04-05,31,3651.114,9260.666,12911.78
2024-04-05,32,3905.464,9120.908,13026.372
2024-04-05,33,4279.864,9065.442,13345.306
2024-04-05,34,4503.868,8992.784,13496.652
2024-04-05,35,4563.51,9013.37,13576.88
2024-04-05,36,4735.992,8999.916,13735.908
2024-04-05,37,4480.306,8613.998,13094.304
2024-04-05,38,4437.594,8881.976,13319.57
2024-04-05,39,4442.94,8848.92,13291.86
2024-04-05,40,4445.362,8331.158,12776.52
2024-04-05,41,4618.62,7876.426,12495.046
2024-04-05,42,4822.096,7712.61,12534.706
2024-04-05,43,4705.662,7626.982,12332.644
2024-04-05,44,4559.392,7636.838,12196.23
2024-04-05,45,4442.604,7705.412,12148.016
2024-04-05,46,4480.118,7405.048,11885.166
2024-04-05,47,5153.416,7477.646,12631.062
2024-04-05,48,5052.13,7511.454,12563.584
2024-04-06,1,4828.446,7867.762,12696.208
2024-04-06,2,4386.648,8150.668,12537.316
2024-04-06,3,4365.608,8216.804,12582.412
2024-04-06,4,4362.264,8071.548,12433.812
2024-04-06,5,4695.842,8253.894,12949.736
